A,Agilent Technologies,Diagnostics & Research,43.59B,,
AA,Alcoa,Aluminum,5.63B,,
AACG,ATA Creativity Global,Education & Training Services,36.11M,,
AACI,Armada Acquisition I,Shell Companies,88.88M,,
AACT,Ares Acquisition Corporation II,Shell Companies,639.44M,,
AADI,Aadi Bioscience,Biotechnology,52.79M,,
AAGR,African Agriculture Holdings,Farm Products,25.35M,,
AAL,American Airlines Group,Airlines,9.68B,,
AAMC,Altisource Asset Management,Asset Management,9.95M,,
AAME,Atlantic American,Insurance - Life,56.92M,,
AAN,The Aaron's Company,Rental & Leasing Services,227.10M,,
AAOI,Applied Optoelectronics,Semiconductors,572.90M,,
AAON,AAON, Inc.,Building Products & Equipment,7.21B,,
AAP,Advance Auto Parts,Specialty Retail,5.15B,,
AAPL,Apple,Consumer Electronics,2,646.28B,,
AAT,American Assets Trust,REIT - Diversified,1.65B,,
AAU,Almaden Minerals,Gold,19.06M,,
AB,AllianceBernstein Holding L.P.,Asset Management,3.96B,,
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,98.58M,,
ABBV,AbbVie,Drug Manufacturers - General,315.30B,,
ABCB,Ameris Bancorp,Banks - Regional,3.34B,,
ABCL,AbCellera Biologics,Biotechnology,1.34B,,
ABEO,Abeona Therapeutics,Biotechnology,208.17M,,
ABEV,Ambev,Beverages - Brewers,39.08B,,
ABG,Asbury Automotive Group,Auto - Truck Dealerships,4.58B,,
ABIO,ARCA biopharma,Biotechnology,25.81M,,
ABL,Abacus Life,Insurance - Life,784.27M,,
ABLV,Able View,Advertising Agencies,42.85M,,
ABM,ABM Industries,Specialty Business Services,2.83B,,
ABNB,Airbnb,Travel Services,107.86B,,
ABOS,Acumen Pharmaceuticals,Biotechnology,250.75M,,
ABR,Arbor Realty Trust,REIT - Mortgage,2.44B,,
ABSI,Absci,Biotechnology,592.12M,,
ABT,Abbott Laboratories,Medical Devices,193.49B,,
ABTS,Abits Group,Capital Markets,27.70M,,
ABUS,Arbutus Biopharma,Biotechnology,448.73M,,
ABVC,ABVC BioPharma,Biotechnology,11.19M,,
ABVX,Abivax,Biotechnology,705.31M,,
AC,Associated Capital Group,Capital Markets,717.85M,,
ACA,Arcosa,Infrastructure Operations,4.14B,,
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,87.64M,,
ACAC,Acri Capital Acquisition,Shell Companies,60.71M,,
ACAD,ACADIA Pharmaceuticals,Biotechnology,3.03B,,
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,210.63M,,
ACBA,Ace Global Business Acquisition,Shell Companies,41.96M,,
ACCD,Accolade,Healthcare - Information Services,754.72M,,
ACCO,ACCO Brands,Business Equipment & Supplies,541.09M,,
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1.35B,,
ACEL,Accel Entertainment,Gambling,1.00B,,
ACET,Adicet Bio,Biotechnology,167.59M,,
ACGL,Arch Capital Group,Insurance - Diversified,33.85B,,
ACHC,Acadia Healthcare Company,Medical Care Facilities,7.12B,,
ACHL,Achilles Therapeutics,Biotechnology,52.20M,,
ACHR,Archer Aviation,Aerospace & Defense,1.59B,,
ACHV,Achieve Life Sciences,Biotechnology,157.56M,,
ACI,Albertsons Companies,Grocery Stores,12.12B,,
ACIC,American Coastal Insurance,Insurance - Property & Casualty,519.10M,,
ACIU,AC Immune,Biotechnology,303.62M,,
ACIW,ACI Worldwide,Software - Infrastructure,3.47B,,
ACLS,Axcelis Technologies,Semiconductors - Equipment & Materials,3.73B,,
ACLX,Arcellx,Biotechnology,3.80B,,
ACM,AECOM,Engineering & Construction,13.30B,,
ACMR,ACM Research,Semiconductors - Equipment & Materials,1.84B,,
ACN,Accenture,Information Technology Services,238.53B,,
ACNB,ACNB Corporation,Banks - Regional,299.56M,,
ACNT,Ascent Industries Co.,Steel,106.82M,,
ACON,Aclarion,Health Information Services,2.58M,,
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,15.37M,,
ACR,ACRES Commercial Realty,REIT - Mortgage,106.93M,,
ACRE,Ares Commercial Real Estate,REIT - Mortgage,423.41M,,
ACRS,Aclaris Therapeutics,Diagnostics & Research,81.56M,,
ACRV,Acrivon Therapeutics,Biotechnology,138.49M,,
ACST,Acasti Pharma,Biotechnology,32.15M,,
ACT,Enact Holdings,Insurance - Specialty,4.88B,,
ACTG,Acacia Research,Specialty Business Services,517.46M,,
ACU,Acme United,Household & Personal Products,157.00M,,
ACVA,ACV Auctions,Auto & Truck Dealerships,3.14B,,
ACXP,Acurx Pharmaceuticals,Biotechnology,30.57M,,
ADAG,Adagene,Biotechnology,111.17M,,
ADAP,Adaptimmune Therapeutics,Biotechnology,334.45M,,
ADBE,Adobe,Software - Infrastructure,231.36B,,
ADC,Agree Realty,REIT - Retail,5.69B,,
ADCT,ADC Therapeutics,Biotechnology,380.46M,,
ADD,Color Star Technology Co.,Entertainment,5.61M,,
ADEA,Adeia,Software - Application,1.18B,,
ADI,Analog Devices,Semiconductors,96.78B,,
ADIL,Adial Pharmaceuticals,Biotechnology,2.84M,,
ADM,Archer-Daniels-Midland Company,Farm Products,31.85B,,
ADMA,ADMA Biologics,Biotechnology,1.41B,,
ADN,Advent Technologies Holdings,Utilities - Renewable,13.03M,,
ADNT,Adient,Auto - Parts,3.09B,,
ADOC,Edoc Acquisition,Shell Companies,10.32M,,
ADP,Automatic Data Processing,Staffing & Employment Services,102.27B,,
ADPT,Adaptive Biotechnologies,Biotechnology,464.29M,,
ADRT,Ault Disruptive Technologies,Shell Companies,42.83M,,
ADSE,ADS-TEC Energy,Electrical - Equipment & Parts,545.81M,,
ADSK,Autodesk,Software - Application,56.85B,,
ADT,ADT Inc.,Security & Protection Services,6.12B,,
ADTH,AdTheorent Holding Company,Advertising Agencies,289.98M,,
ADTN,ADTRAN Holdings,Communications - Equipment,431.97M,,
ADTX,Aditxt,Biotechnology,5.23M,,
ADUS,Addus HomeCare,Medical Care Facilities,1.64B,,
ADV,Advantage Solutions,Advertising Agencies,1.35B,,
ADVM,Adverum Biotechnologies,Biotechnology,333.32M,,
ADXN,Addex Therapeutics,Biotechnology,12.82M,,
AE,Adams Resources & Energy,Oil & Gas - Refining & Marketing,64.04M,,
AEAE,AltEnergy Acquisition,Shell Companies,82.43M,,
AEE,Ameren,Utilities - Regulated Electric,19.19B,,
AEG,Aegon,Insurance - Diversified,10.47B,,
AEHL,Antelope Enterprise Holdings,Building - Products & Equipment,5.84M,,
AEHR,Aehr Test Systems,Semiconductors - Equipment & Materials,428.99M,,
AEI,Alset EHome International,Real Estate - Development,12.17M,,
AEIS,Advanced Energy Industries,Electrical - Equipment & Parts,3.66B,,
AEL,American Equity Investment Life Holding Company,Insurance - Life,4.47B,,
AEM,Agnico Eagle Mines,Gold,28.04B,,
AEMD,Aethlon Medical,Medical - Devices,4.35M,,
AENT,Alliance Entertainment Holding,Entertainment,85.05M,,
AEO,American Eagle Outfitters,Apparel - Retail,5.02B,,
AEON,AEON Biopharma,Biotechnology,405.04M,,
AEP,American Electric Power Company,Utilities - Regulated Electric,43.76B,,
AER,AerCap Holdings,Rental & Leasing Services,17.46B,,
AERT,Aeries Technology,Consulting Services,38.90M,,
AES,The AES Corporation,Utilities - Diversified,11.20B,,
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,2.25B,,
AEVA,Aeva Technologies,Auto Parts,215.81M,,
AEYE,AudioEye,Software - Application,122.23M,,
AEZS,Aeterna Zentaris,Biotechnology,9.87M,,
AFAR,Aura FAT Projects Acquisition,Shell Companies,64.00M,,
AFBI,Affinity Bancshares,Banks - Regional,107.35M,,
AFCG,AFC Gamma,REIT - Specialty,269.29M,,
AFG,American Financial Group,Insurance - Property & Casualty,11.14B,,
AFIB,Acutus Medical,Medical Devices,5.28M,,
AFJK,Aimei Health Technology Co., Ltd Ordinary Share,Blank Check / SPAC,91.97M,,
AFL,Aflac,Insurance - Life,49.06B,,
AFMD,Affimed,Biotechnology,73.62M,,
AFRI,Forafric Global,Farm Products,282.23M,,
AFRM,Affirm Holdings,Software - Infrastructure,11.51B,,
AFYA,Afya Limited,Education & Training Services,1.90B,,
AG,First Majestic Silver,Silver,1.57B,,
AGAE,Allied Gaming & Entertainment,Entertainment,33.90M,,
AGBA,AGBA Acquisition,Shell Companies,25.25M,,
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8.81B,,
AGE,AgeX Therapeutics,Biotechnology,33.23M,,
AGEN,Agenus,Biotechnology,235.52M,,
AGFY,Agrify,Engineering & Construction,4.17M,,
AGI,Alamos Gold,Gold,5.43B,,
AGIO,Agios Pharmaceuticals,Biotechnology,1.70B,,
AGL,agilon health,Medical Care Facilities,2.00B,,
AGM,Federal Agricultural Mortgage,Credit Services,2.03B,,
AGM.A,Federal Agricultural Mortgage,Credit Services,2.03B,,
AGMH,AGM Group Holdings,Software - Application,46.33M,,
AGNC,AGNC Investment,REIT - Mortgage,6.84B,,
AGO,Assured Guaranty,Insurance - Specialty,5.09B,,
AGR,Avangrid,Utilities - Regulated Electric,13.85B,,
AGRI,AgriFORCE Growing Systems,Farm Products,840.40K,,
AGRO,Adecoagro,Farm Products,1.13B,,
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,1.59M,,
AGS,PlayAGS,Gambling,353.00M,,
AGTI,Agiliti,Healthcare - Information Services,1.37B,,
AGX,Argan,Engineering & Construction,687.19M,,
AGYS,Agilysys,Software - Application,2.17B,,
AHCO,AdaptHealth,Medical Devices,1.48B,,
AHG,Akso Health Group,Credit Services,131.50M,,
AHH,Armada Hoffler Properties,REIT - Diversified,950.51M,,
AHI,Advanced Human Imaging,Software - Application,13.11M,,
AHR,American Healthcare REIT,REIT - Healthcare Facilities,1.70B,,
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,55.39M,,
AI,C3.ai,Information Technology Services,3.39B,,
AIB,AIB Acquisition,Shell Companies,41.72M,,
AIG,American International Group,Insurance - Diversified,52.71B,,
AIH,Aesthetic Medical International Holdings Group,Medical - Care Facilities,17.12M,,
AIHS,Senmiao Technology,Credit Services,9.57M,,
AIM,AIM ImmunoTech,Biotechnology,18.61M,,
AIMAU,Aimfinity Investment I,Shell Companies,24.39K,,
AIMD,Ainos,Biotechnology,7.74M,,
AIN,Albany International,Textiles,2.96B,,
AINC,Ashford,Asset Management,7.23M,,
AIP,Arteris,Semiconductors,275.92M,,
AIR,AAR Corp.,Aerospace & Defense,2.27B,,
AIRC,Apartment Income REIT,REIT - Residential,4.59B,,
AIRE,reAlpha Tech,Real Estate Services,54.71M,,
AIRG,Airgain,Communications - Equipment,56.20M,,
AIRI,Air Industries Group,Aerospace & Defense,16.41M,,
AIRJ,Montana Technologies,Shell Companies,345.24M,,
AIRS,AirSculpt Technologies,Medical Care Facilities,343.38M,,
AIRT,Air T,Integrated Freight & Logistics,64.33M,,
AISP,Airship AI Holdings,Software - Infrastructure,214.43M,,
AIT,Applied Industrial Technologies,Industrial Distribution,7.77B,,
AITR,AI TRANSPORTATION ACQUISITION CORP,Shell Companies,82.89M,,
AIU,Meta Data,Education & Training Services,61.58M,,
AIV,Apartment Investment and Management Company,REIT - Residential,1.13B,,
AIXI,Xiao-I,Software - Application,131.85M,,
AIZ,Assurant,Insurance - Specialty,9.33B,,
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,55.47B,,
AJX,Great Ajax,REIT - Mortgage,101.88M,,
AKA,a.k.a. Brands Holding,Internet Retail,104.17M,,
AKAM,Akamai Technologies,Software - Infrastructure,16.54B,,
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,1.85M,,
AKBA,Akebia Therapeutics,Biotechnology,453.29M,,
AKLI,Akili,Healthcare - Information Services,22.94M,,
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,2.25B,,
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2.43B,,
AKR,Acadia Realty Trust,REIT - Retail,1.91B,,
AKRO,Akero Therapeutics,Biotechnology,1.79B,,
AKTS,Akoustis Technologies,Communication Equipment,56.06M,,
AKTX,Akari Therapeutics,,Biotechnology,10.23M,,
AKYA,Akoya Biosciences,Medical - Instruments & Supplies,235.38M,,
AL,Air Lease,Rental & Leasing Services,5.24B,,
ALAB,Astera Labs,Semiconductors,10.67B,,
ALAR,Alarum Technologies,Software - Infrastructure,140.23M,,
ALB,Albemarle,Chemicals - Specialty,14.67B,,
